㔩	qop
性	*siɛ̀ng
怨	*qiuæ̀n
怪	*guæ̀i
怯	*kiæp
怱	tsung
怳	xiuɑ̌ng
怵	tjuit
恃	zhiə̌
恆	*həng
恍	xuɑ̌ng
恐	*kiǒng
恙	iɑ̀ng
恢	kuəi
恣	tzì
恥	*tjiə̌
恨	*hə̀n
恩	*qən
恭	giung
息	*siək
恰	kæp
悄	*tsiɛ̌u
悉	sit
悌	dhèi
悔	xuə̌i
悛	tsiuɛn
悟	*ngò
悠	*iou
患	huàn
悦	*iuɛt
悲	*byi
悴	dzhuì
悵	*tjiɑ̀ng
悸	ghuì
悼	dhɑ̀u
悽	*tsei
情	*dzhiɛng
惆	*tjiou
惋	quɑ̀n
惕	tek
惘	miɑ̌ng
惚	xuət
惜	*siɛk
惟	*ui ui
惠	*huèi
惡	*qɑk qò
想	*siɑ̌ng
惹	ngiǎ
惻	*chriək
愀	tsiɛ̌u
愁	*jrhiou
愆	kyɛn
愈	*iǒ
意	qiə̀
愚	*ngio
愛	*qə̀i
愜	kep
感	*gǒm
愧	*gyuì
愬	sò
愴	*chriɑ̀ng
愷	kə̌i
愿	ngiuæn
慄	lit
慈	*dzhiə
態	tə̀i
慎	*zhìn
慕	mò
慘	*tsǒm
慚	dzhɑm
慜	myǐn
慟	dhùng
慠	ngɑ̀u
慢	màn
慣	guɑ̀n
慧	huèi
慨	kə̀i
慮	liù
慰	qiuə̀i
慵	zhiong
慶	kiæ̀ng
慷	kɑ̌ng
憂	*qiou
憎	tzəng
憐	*len
憑	*bhiəng
憔	dzhiɛu
憤	bhiə̌n
憨	kyɛ̀i
憲	*xiæ̀n
憶	*qiək
懇	kə̌n
應	*qiəng *qiə̀ng
懊	qɑ̀u
懦	nuɑ̀
懲	djhiəng
懶	lɑ̌n
懷	*huæi
懸	*huen
懼	ghiò
懽	*xuɑn
懾	jiɛp
戀	*liuɛ̀n
戈	*guɑ
戍	*shiò
戎	*njiung
成	*zhiɛng
我	*ngɑ̌
戒	gæ̀i
或	*huək
戚	tsek
戛	gat
戟	giæk
戡	kom
戢	jrip
截	dzhet
戮	*liuk
戰	*jiɛ̀n
戲	*xyɛ̀
戴	də̀i
户	*hǒ
房	*bhiɑng
所	*shriǔ
扁	*piɛn
扃	gueng
扇	*shiɛ̀n
扈	hǒ
扉	*biəi
手	*shiǒu
才	*dzhəi
打	děng
