㛯	21068.050:fàn,miǎn,zhuàn
㛱	21066.010:wěi,wēi
㛳	21068.140:yì
㛵	21067.040:chēng
㛶	21066.050:tàn
㛷	21066.090:jī
㛹	21066.150:pián
㛺	21068.120:ān
㛻	21064.160:kuā
㛼	21066.110:chā,shà
㛾	21064.110:xián
㜂	21063.080:fēng
㜃	21066.210:liàn
㜄	21068.010:xún
㜅	21073.040:xù
㜆	21073.070:mì
㜇	21070.110:huì,yè
㜈	21074.110:mù
㜉	21074.160:yōng
㜊	21074.060:zhǎn
㜋	21072.110:yì
㜌	32161.100:nǒu,gòu,kòu
㜍	21073.020:táng
㜎	21072.090:xī,xì
㜐	21071.200:shù
㜒	21066.160:yì
㜓	21071.030:dá
㜕	21071.070:lián
㜖	21075.120:cáo
㜗	21078.170:cān,sēn
㜘	21076.130:jù,qù,chá
㜙	21077.180:lù
㜚	21078.090:sù
㜝	21077.150:ǎn,yǎn
㜞	21075.130:qiàn,cán
㜠	21077.090:cuī
㜡	21077.120:cōng
㜣	21082.080:rán,rǎn
㜤	21080.020:niǎn,tiǎn,tán
㜥	21080.180:mái
㜦	21082.160:xín
㜨	21083.010:nái
㜩	21084.100:ào
㜪	21085.030:shēn
㜮	21086.040:làn,lán
㜯	21086.010:xī
㜰	21089.050:yuè
㜱	21088.190:zhì
㜳	21089.180:huái
㜴	21089.060:mèng
㜷	21090.150:mí,xiǎn
㜹	21090.200:qú
㜺	21091.070:zàn
㜿	21012.090:xù
㝀	21015.030:hào
㝁	21015.090:xuān,qióng
㝂	21016.020:zhì,zhè
㝃	21016.040:miǎn
㝅	32161.080:gòu
㝋	20911.030:liǎo
㝌	20913.050:jiù
㝏	20916.090:jiè
㝓	20927.070:kè
㝔	20928.030:yǎo
㝗	20935.080:láng,lǎng
㝘	20935.040:yóng
㝚	20927.040:yán
㝝	20936.140:lín
㝞	20936.100:yā,yà
㝣	20943.020:yì
㝤	20945.050:gòu
㝩	20949.010:kāng
㝪	20946.170:diàn
㝫	20951.020:lóng
㝭	20955.020:xǐng
㝮	20955.080:cuì
㝰	20957.030:mián
㝵	21488.050:dé,ài
㝸	10564.140:biàn
㝺	10566.010:lián
㝼	10552.060:yū
㝾	10553.140:zuǒ
㞀	10554.010:huī
㞁	10554.020:yào
㞂	10554.180:tuǐ,tuì
㞃	10555.010:jì
㞄	10554.200:ān
㞅	10554.220:luò
㞆	10554.190:jǐ
㞇	10555.070:wěi
㞈	10556.020:bō
㞉	10556.110:zā
㞊	10556.130:xù
㞋	20965.080:niǎn,jí
㞎	20967.060:bǎ,pā
㞏	20967.020:zhé,jié
㞒	20972.040:xiè,xì
㞓	20972.070:qì,jī
㞖	20971.080:cí,cì
㞗	20975.010:qiú
㞘	20977.050:dū
㞚	20978.110:qì,zhǎ
㞛	20978.160:jǐ
㞜	20979.190:tuī
㞞	80018.010:sóng
㞟	20980.070:diàn,dǐng
㞤	10760.080:yín,cén
㞥	10760.090:cén
㞦	10760.110:jǐ
㞨	10762.030:zǐ
㞪	10761.210:náo
㞬	10761.020:qìn
㞭	10761.030:dài
㞰	10763.110:xǔ
㞱	10763.050:cōng
㞲	10763.060:yòng
㞳	10765.070:dǒu
㞴	10764.090:chí,mín
㞷	21022.020:huáng
㞻	10767.020:hào
㞽	10766.100:xuè
㟀	10767.110:lián
㟂	10769.090:mǔ
㟃	80016.060:sī
㟄	10771.170:xiáng
㟅	10771.050:yáng
㟇	10775.100:cuò,cuó
㟈	10772.220:qiú
㟉	10776.060:láo
㟊	10775.010:fú
㟋	10775.080:duì
㟌	10773.060:máng
㟍	10776.070:láng,lǎng
㟎	10775.020:tuǒ,tuǐ
㟏	10775.120:hán
㟐	10772.160:mǎng
㟑	10772.230:bó
㟒	10776.100:qūn
㟓	10775.060:qí
㟖	10772.110:lòng,lóng
㟘	10782.020:tiáo
㟙	10777.110:zé
㟛	10777.030:zàn
㟢	10778.110:qí
㟤	10783.090:lù
㟨	10787.040:duān
㟪	10786.050:wēi,wěi
㟬	10787.100,80016.140:sǒu
㟮	10789.060:tū
㟰	10792.130:mǐng
㟱	10792.050:yǎo
㟳	10790.020:lì
㟶	10790.050:yuán
㟷	10785.020:da
㟹	10793.010:láo
㟻	10793.060:qiàn,zhǎn
㟽	10793.100:biǎo,biāo
㟾	10795.030:yōng
㟿	10792.220:mǎng,máng
㠂	10792.190:áo
㠄	10796.010:xí
㠅	10798.100:fú,fù
㠆	10797.110:dān
㠇	10799.060:jiù
㠈	10799.140:rùn
㠉	10799.070:tóng
㠊	10797.090:qū
㠌	10796.120:qī
㠍	10798.020:jí
㠎	10798.010:jí,jié
㠏	10796.130:huá
㠑	10800.180:zuì
㠓	10800.010:méng
㠔	10802.010:bài
㠕	10799.160:wěi
㠖	10801.130:yǐ
㠙	10803.060:háo
㠚	10802.140:duì
㠛	10802.070:wò
㠟	10804.190:lí
㠠	10805.140:lú
㠡	10805.210:niǎo
㠢	10805.200:huái
㠣	10805.120:lì
㠥	10807.040:lǜ,léi,lěi
㠦	10807.030:fēng
㠧	10809.010:mǐ
㠨	10810.030:yù
㠮	10414.070:pēng,gāng
㠱	20987.010:jì,qǐ
㠲	10729.040:bǐ
㠴	10730.220:rèn
㠵	10730.190:huāng
㠷	10730.160:gé
㠹	10731.200:jiè
㠺	10731.090:shā,miáo
㠼	10731.160:sī
㠽	10735.030:tóng
㠾	10735.040:yuān
㠿	10736.160:zī,cǐ
㡀	10563.040:bì
㡁	10736.120:kuǎ
㡂	10736.140:lì
㡃	10737.060:huāng
㡄	10737.080:xún
㡅	10737.090:nuǒ
㡇	10739.070:zhé,jiē
㡈	10741.030:wèn,mén,miǎn
㡉	10746.010:xián
㡋	10743.080:yé,ān
㡏	10747.190:shù,xū,tóu,shū
㡑	10747.130:jiǎo,qiāo
㡒	10747.180:zhūn
㡓	10748.050:kūn
㡔	10748.120:wù
㡕	10746.110:yīng
㡖	10747.140:chuáng
㡗	10750.080:tí
㡘	10750.160:lián,lín
㡙	10750.070:bī
㡚	10749.020:gōu
㡜	10752.090:xiè,xuě
㡝	10752.080:fèng
㡞	10752.040:lóu,lǚ
㡟	10751.140:zāo
㡥	10757.080:yìn
㡦	10757.120:pīn
㡨	10758.150:jiān,qiān
㡩	10759.030:luán
㡫	21096.010:yì
㡮	21097.040:jí
㡯	20873.110:zhái,dù,duó
㡲	20874.030:huán
㡳	20875.120:zhǐ
㡴	20879.050:lā
㡵	20878.030:líng
㡶	20877.060:zhǐ
㡷	20876.020:běn
㡸	20877.120:zhà,zhǎ,chá
㡹	20877.020:jū
㡺	20877.010:dàn
㡼	20882.060:yì
㡽	20884.020:zhào
㡾	20884.030:xiàn
㢀	20882.010:cì
㢁	20883.070:chǐ,shǐ
㢂	20883.020:yǎn,tuí,duī
㢃	20886.050:láng
㢄	20885.030:dòu
