儆	0600.060:jǐng
儇	1305.050:xuān
儈	0657.021:kuài
儉	0553.101:jiǎn
儋	0210.030:dān
儍	0993.061:shǎ
儐	0075.031:bīn
儒	0971.070:rú
儓	1108.060:tái
儔	0152.091:chóu
儕	0116.041:chái
儗	0828.060:nǐ
儘	0590.011:jǐn
償	0120.131:cháng
儡	0686.070:lěi
優	1394.011:yōu
儭	0133.081:chèn
儱	0733.030*,0733.031:lǒng
儴	0955.090:ráng
儵	1064.020:shū
儷	0697.041:lì
儸	0750.061:luó
儹	1439.071:zǎn
儺	0843.061:nuó
儻	1120.021,1120.051:tǎng
儼	1331.021:yǎn
儽	0685.080:léi
儿	0286.070:ér
兀	1211.020:wū 1223.140:wù
允	1432.170:yǔn
元	1419.090:yuán
兄	1293.030:xiōng
充	0147.030:chōng
兆	1461.010:zhào
兇	1293.041:xiōng
先	1244.070:xiān
光	0412.040:guāng
克	0642.030:kè
免	0785.130:miǎn
兎	1165.031:tù
兑	0273.070:duì
兒	0286.071:ér 0826.050:ní
兔	1165.030:tù
兕	1090.030:sì
兖	1328.030:yǎn
党	0215.060:dǎng
兜	0261.130:dōu
兢	0597.070:jīng
入	0974.060:rù
全	0948.010:quán
兩	0707.061:liǎng
八	0013.030:bā 0016.090:bá
公	0383.020:gōng
六	0729.030:liù 0737.110:lù
兮	1231.030:xī
兰	0672.070:lán
共	0388.020:gòng
关	0407.020:guān
兴	1286.050:xīng 1292.030:xìng
兵	0076.040:bīng
其	0519.020:jī 0895.060:qí
具	0614.150:jù
典	0241.010:diǎn
兹	0172.190:cí 1529.020:zī
养	1337.050:yǎng
兼	0546.060:jiān
兽	1060.010:shòu
冀	0534.020:jì
冁	0119.050:chǎn
冄	0955.011:rǎn
内	0822.070:nèi
冇	0769.040:mǎo
冈	0360.040:gāng
冉	0955.010:rǎn
冊	0110.031:cè
册	0110.030:cè
再	1437.070:zài
冏	0604.110:jiǒng
冒	0769.120:mào 0804.040:mò
冓	0391.060:gòu
冕	0786.010:miǎn
冗	0969.080:rǒng
写	1276.030:xiě 1276.090:xiè
军	0622.030:jūn
农	0838.080:nóng
冠	0408.010:guān 0410.030:guàn
冢	1500.020:zhǒng
冤	1418.160:yuān
冥	0792.200:míng
冪	0784.011:mì
冬	0258.040:dōng
冮	0359.110:gāng
冯	0331.050:féng 0883.070:píng
冰	0075.150:bīng
冱	0477.120:hù
冲	0148.020:chōng 0150.040:chòng
决	0619.110:jué
况	0661.070:kuàng
冶	1345.130:yě
冷	0688.040:lěng
冻	0261.010:dòng
冼	1249.040:xiǎn
冽	0714.010:liè
净	0602.030:jìng
凃	1162.012:tú
凄	0894.050:qī
准	1525.150:zhǔn
凇	1092.020:sōng
凉	0706.040:liáng 0709.070:liàng
凊	0937.020:qìng
凋	0248.030:diāo
凌	0718.120:líng
凍	0261.011:dòng
减	0552.070:jiǎn
凑	0179.020:còu
凓	0697.090:lì
