㐀	一卝
㜯	女巳灬𦣞巸熙
㜰	女幺幺木白樂
㜱	女斤斤貝斦質
㜲	⺄⺼亠十口女女𠃊亡卂嬴𦝠
㜳	女罒衣眔褱
㜴	冖卝女目罒瞢
㜵	女衣馬褭
㜶	⺈⺈丶口女比㲋免兔毚𠮥
㜷	一女弓彌爾
㜸	㠯丿女艹辛薛𠂤
㜹	女目目隹䀠瞿
㜺	儿儿女貝先先兟贊
㜻	女心糸糹言䜌戀絲
㜼	且女宀田田田宜畾
㜽	子巛
㜾	人子介
㜿	乛亅子龴予
㝀	子母
㝁	勹子日旬
㝂	子扌斤折
㝃	⺈子免
㝄	丿乚亠凵口子享屯𡳾
㝅	一冖士子殳𣪊
㝆	十口子豆喜壴
㝇	亠亠口口子子享享
㝈	子子糸糹言䜌孖絲
㝉	一宀
㝊	又宀
㝋	亅宀了
㝌	久宀
㝍	一宀与
㝎	丿宀之
㝏	人宀介
㝐	八厶宀公
㝑	宀方
㝒	十口宀古
㝓	一口宀𠆢亼合
㝔	亠宀父交
㝕	又宀心
㝖	夕夕宀多
㝗	丶宀艮良
㝘	宀言
㝙	一八宀王
㝚	丿宀廴止延
㝛	一人亻口宀𠈇
㝜	一一丨丨宀日卄昔龷
㝝	宀木木林
㝞	二宀亞
㝟	一宀見㝉
㝠	亠八宀日六昗
㝡	又宀耳取
㝢	宀禹
㝣	丨刀大宀彡㓞丯契
㝤	一井冉宀冓𠀎
㝥	宀爿米
㝦	丿宀隹𠄎乃隽
㝧	人人土女宀从坐安
㝨	口土宀𧘇袁𠮷
㝩	宀广隶康
㝪	丶丷九土宀干丸執幸𢆉
㝫	一夂宀生阝㚅隆𤯔
㝬	一丨二二人口宀三丰夫害
㝭	宀忄日生惺星
㝮	凵又宀屮示出祟𠭥
㝯	丿冂口口大宀冋喬夭
㝰	宀方穴自臱
㝱	冖卝夕宀爿罒夢
㝲	⺕冖冖卝宀巾爿罒帚
㝳	一丶小㣺
㝴	二儿寸元
㝵	一寸日旦
㝶	儿寸罒
㝷	丶九寸工彐丸
㝸	儿白𡭔皃
㝹	⺈丿小免少
㝺	一丷丿小䒑兼少
㝻	丿小廿堇少
㝼	于尢
㝽	尢水
㝾	尢工𠂇左
㝿	尢皮
㞀	尢火𠂇灰
㞁	匕尢日㫐
㞂	女尢爫妥
㞃	丶尢谷尤
㞄	乚大尢日奄电
㞅	尢日木果
㞆	一亅口大尢丁可奇
㞇	一尢田𠄌畏
㞈	一丨丨冂尢户卄扁𠕁
㞉	一丷丿土尢工䒑差𦍌
㞊	凵尢屮示出祟
㞋	又尸
㞌	子尸
㞍	丶九尸丸
㞎	尸巴
㞏	丿丿尸之乏
㞐	尸立
㞑	尸
㞒	尸自
㞓	匕尸日旨
㞔	夕夕尸多
㞕	⺼八尸䏌
㞖	尸朿
㞗	丶尸求
㞘	丶尸豕豖
㞙	尸毛水尾
㞚	尸干臼臿
㞛	匕尸彳日旨
㞜	女尸彳禾㣦委
㞝	⺊一丿小尸戈上尗戊戚
㞞	人人尸彳龰从從
㞟	丷大尸酉奠酋
㞠	丷大小尸日尞昚𡗜
㞡	尸工工工工𧘇㠭
㞢	一屮
㞣	八刀屮分
㞤	人山
㞥	入山
㞦	几山
㞧	丿山𠄎乃
㞨	子山
㞩	丶几山凡
㞪	山彐
㞫	丿山之
㞬	山工
㞭	大山
㞮	丶山𠂊𠚤
㞯	山己
㞰	十山𠂉午
㞱	山日
㞲	丨口山中
㞳	山斗
㞴	山氏
㞵	山文
㞶	山文
㞷	屮王
㞸	一山不
㞹	一亅口山丁可
㞺	山矢
㞻	㇉一口山丂号
㞼	亅山了氶
㞽	山戈𠄌戉
㞾	匕尸山尼
㞿	丿乀土山乂
㟀	山禾
㟁	厂山干厈
㟂	山母
㟃	一口山𠃌司
㟄	山羊
㟅	丿乀儿凵山乂兇凶
㟆	丿乚亻十山化华𠤎
㟇	人人土山从坐
㟈	丶山求
㟉	宀山牛牢
㟊	子山爫孚
㟋	儿八口山㕣兌
㟌	丶尢山彡尤尨
㟍	丶山艮良
㟎	女山爫妥
㟏	一口山𠆢亼今含
㟐	亠山艹𠃊亡芒
㟑	冖十子山孛
㟒	⺕丿口山君尹
㟓	丿乀山巾𠂇乂布希
㟔	一口山𠆢亼今含
㟕	口山斗呌
㟖	山廾王弄
㟗	八八刀刀山分分
㟘	冂口土山周
㟙	一一丨丨山日卄昔龷
㟚	山支木枝
㟛	山扌甘拑
㟜	小山弓尔弥
㟝	口山立咅
㟞	山戈戈戔
㟟	㔾一一丨丨八山共卄龷
㟠	一丷冂山山䒑岡
㟡	㔾丷二人山卷夫龹
㟢	一亅口大山丁可奇
㟣	八厶山木公松
㟤	山彐氺录
㟥	厶大山彡参
㟦	冖山車軍
㟧	㇉一一口口山丂亏吅咢
㟨	山山而耑
㟩	山攵民敃
㟪	一山田𠄌畏
㟫	山水白泉
㟬	⺕丨又山叟𦥑𦥔
㟭	山日民昬
㟮	山犬穴突
㟯	口夂宀山各客
㟰	亠八冖山日六冥昗
㟱	一丷土山灬䒑羔𦍌
㟲	厂小山白原
㟳	山木覀栗
㟴	山鬼
㟵	一山止罒正罡
㟶	厂小山白原
㟷	一口山艹𠆢亼合荅
㟸	十大山白夲皋
㟹	丿卩山耳卯聊
㟺	女山婁
㟻	山斤車斬
㟼	士山攵方放敖
㟽	山示覀票
㟾	山广庸
㟿	山廾犬艹莽𦬇
㠀	山鳥
㠁	厶厶厶山彡𠆢㐱厽參
㠂	士山攵方放敖
㠃	丷亠冂十口山古啇
㠄	山白羽習
㠅	夊山彳日𠂉复復
㠆	口口山吅單
㠇	丶亠口小尢山京尤就
㠈	山王門閏
㠉	山立里童
㠊	山虍虛
㠋	㇉一一口口口山丂亏吅品
㠌	八山欠其欺
㠍	山木隹集
㠎	山木隹集
㠏	山艹華
㠐	丿冂口口大山冋喬夭
㠑	山罒非罪
㠒	刂山示覀剽票
㠓	一冂山艹豕冡蒙𠔼
㠔	口尸山辛辟𡰪
㠕	山阝鬼隗
㠖	一丷土山我䒑義𦍌
㠗	丿冂大山釆奧
