a00100-017	
a00100-018	
a00100-019	
a00100-020	
a00100-021	
a00100-023	
a00100-024	
a00100-025	
a00100-026	
a00101	仳
a00102	份
a00102-001	
a00103	企
a00103-001	𠈮
a00103-002	𧾺
a00103-003	𧿍
a00103-004	𨀣
a00103-005	
a00103-006	
a00103-007	
a00103-008	
a00103-009	
a00103-010	
a00103-011-1	
a00103-016	仚
a00104	位
a00104-001	
a00104-002	𢓔
a00104-003	
a00104-004	
a00105	住
a00106	佇
a00106-001	㑏
a00106-002	𡀐
a00106-003	竚
a00106-004	
a00106-006	
a00107	佗
a00107-001	
a00107-002	它
a00107-003	
a00108	佞
a00108-001	𧦣
a00108-002	
a00108-003	
a00108-005	
a00108-006	
a00109	伴
a00109-001	
a00110	佛
a00110-001	仏
a00110-002	𠇛
a00110-003	㘬
a00110-004	𦤲
a00110-005	
a00110-006	仸
a00110-007	
a00110-008	彿
a00110-009	
a00110-011	
a00110-014	
a00110-015	
a00111	何
a00111-001	
a00111-002	
a00111-003	
a00112	估
a00113	佐
a00113-002	
a00113-003	
a00113-005	𠡃
a00114	佑
a00114-001	
a00115	伽
a00116	伺
a00116-001	𣱇
a00116-002	覗
a00117	伸
a00117-001	𠈐
a00117-002	
a00117-002-1	
a00117-004-1	
a00118	佃
a00119	佔
a00120	似
a00120-001	佀
a00120-002	𠚦
a00120-003	仏
a00120-004	𠋨
a00120-005	
a00120-006	
a00120-007	価
a00120-008	
a00120-009	
a00120-010	
a00121	但
a00121-001	
a00121-002	
a00121-003	
a00121-004	
a00121-005	𠇙
a00122	佣
a00123	作
a00123-001	㑅
a00123-002	𢓓
a00123-003-1	𢼎
a00123-004	
a00123-005	𠆯
a00123-008	
a00123-009	
a00123-010	𠈨
a00124	你
a00124-001	伲
a00124-002	你
a00124-003	伱
a00124-004	𤙌
a00124-005	儞
a00125	伯
a00125-001	
a00125-003	
a00126	低
a00126-001	仾
a00126-002	
a00126-003	
a00126-004	
a00126-005	
a00126-006	
a00126-007	
a00126-009	
a00126-010	
a00126-011	𠍪
a00126-012	
a00126-015	
a00126-017	
a00126-018	
a00127	伶
a00127-001	
a00127-002	
a00128	余
a00128-001	𪜬
a00128-002	𠎳
a00129	佝
a00130	佯
a00131	依
a00131-001	
a00131-002	
a00131-003	
a00132	侍
a00132-001	
a00132-002-1	
a00132-003	
a00132-004	
a00133	佳
a00134	使
a00134-001	𠉕
a00134-002	𡥐
a00134-003	𡷮
a00134-004	
a00134-006	
a00134-009	
a00134-010	
a00134-011	
a00134-013	
a00135	佬
a00135-001	
a00136	供
a00136-001	
a00137	例
a00137-001	𠊖
a00137-002	𣖊
a00137-003	
a00137-004	
a00138	來
a00138-001	来
a00138-002	𧼛
a00138-003	
a00138-003-1	徠
a00138-003-2	逨
a00138-003-3	倈
a00138-004	
a00138-005	
a00138-006	
a00138-007	
a00138-009	
a00139	侃
a00139-001	𠈉
a00139-002	偘
a00140	佰
a00141	併
a00141-001	倂
a00142	侈
a00142-001	𠈎
a00142-002	𣆚
a00142-003	
a00142-004	
a00142-005	
a00142-005-1	𠕰
a00142-005-2	
a00142-005-3	𠕝
a00142-006	
a00142-007	
a00142-008	
a00143	佩
a00143-001	
a00143-002	
a00144	佻
a00144-001	𢓝
a00144-002	𨋫
a00144-003	
a00144-004	
a00145	侖
a00145-001	𠌈
a00145-002	𠎚
a00145-003	
a00145-004	
a00145-004-1	
a00145-005	
a00145-006	
a00145-007	
a00146	佾
a00146-001-1	𢔍
a00146-002	
a00146-003-1	
a00146-005	
a00147	侏
a00148	信
a00148-001	㐰
a00148-002	𡥪
a00148-003	䚱
a00148-004	訫
a00148-005	
a00149	侵
a00149-001	㑴
a00149-002	𢔀
a00149-003	
a00149-004	
a00149-005	
a00149-006	
a00149-007	
a00149-008	
a00149-009	
a00149-010	
a00149-012	
a00149-013	
a00150	侯
a00150-001	矦
a00150-002	𠨶
a00150-003	𥎦
a00150-004	
a00150-005	
a00150-006	
a00150-007	
a00150-008	
a00150-009	
a00150-010	
a00150-011	
a00150-012	
a00150-014	
a00150-016	
a00150-017	
a00150-018	
a00150-019	
a00150-020	
a00150-021	
a00150-022	
a00150-023	
a00150-024	
a00151	便
a00151-001	𠊳
a00151-003	
a00151-004	
a00152	俠
a00152-001	侠
a00152-004	
a00153	俑
a00153-001	
a00154	俏
a00155	保
a00155-001	𠈃
a00155-002	𠊻
a00155-003	𠌀
a00155-004	𠦀
a00155-005	㙅
a00155-006	𡥀
a00155-007	𣎼
a00155-008-1	𤔃
a00155-009	𤞥
a00155-010	
a00155-012	
a00155-013	
a00155-017	
a00155-018	
a00155-019	
a00155-020	
a00155-021	
a00156	促
a00156-001	
a00156-002	
a00156-003	
a00156-004	
a00156-005	䟟
a00156-006	趗
a00157	侶
a00157-001	侣
a00157-002	
a00158	俘
a00158-001	
a00159	俟
a00159-001	𡱢
a00159-002	𢈟
a00159-003	𢉡
a00159-004	𢓪
a00159-005	𥏳
a00159-006	䇃
a00159-007	竢
a00159-008	
a00159-009	
a00159-010	
a00159-011	
a00159-012	
a00159-013	
a00159-014	逘
a00160	俊
a00160-001	㑺
a00160-002	儁
a00160-003	㒞
a00160-004	
a00160-005	
a00160-006	
a00160-007	儶
a00160-008	
a00160-011	
a00160-012	
a00160-013	
a00160-014-1	
a00160-015	
a00160-016	
a00160-017	
a00160-019	
a00160-020	𨶊
a00160-022	
a00160-023	
a00160-024	
a00160-026	
a00161	俗
a00161-001	𢓾
a00161-002	
a00161-003	
a00161-004	圱
a00161-005	
a00161-006	
a00161-007	
a00161-008	
a00161-009	
a00161-010	
a00161-011	
a00161-015	
a00161-015-1	
a00161-015-2	
a00162	侮
a00162-001	㚢
a00162-002	𠆸
a00162-003	㑄
a00162-004	侮
a00162-005	
a00162-006	
a00162-008	
a00162-009	
a00162-010	娒
a00162-011	
a00162-012	𢘃
a00163	俐
a00163-001	悧
a00164	俄
a00165	係
a00165-001	
a00165-002	
a00165-003	
a00166	俚
a00167	俎
a00167-001	爼
a00167-002	𤕲
a00167-003	
a00168	俞
a00168-001	兪
a00168-002	
a00168-003	
a00168-004	
a00168-005	
a00169	倌
a00170	倍
a00170-001	𠊑
a00170-002	𠋭
a00170-003	俖
a00170-004	𧴥
a00171	倣
a00171-001	㑂
a00172	俯
a00172-001	頫
a00172-002	俛
a00172-003	
a00172-004	
a00173	倦
a00173-001	劵
a00173-002	𠢏
a00173-003	𢛗
a00173-008	
a00173-009	
a00173-010	
a00173-011-1	惓
a00173-012	
a00173-014	𠉮
a00173-017	
a00173-019-1	勌
a00174	倥
a00175	俸
a00176	倩
a00176-001	
a00177	倖
a00177-001	
a00178	倆
a00178-001	俩
a00178-002	
a00178-003	
a00178-004	
a00179	值
a00179-001	値
a00179-002	
a00179-003	
a00179-004	
a00179-006	
a00179-007	
a00179-010	
a00180	借
a00180-001	徣
a00180-002	
a00180-003	
a00181	倚
a00181-001	𠋣
a00182	倒
a00183	們
a00183-001	
a00184	俺
a00184-001	
a00184-002	
a00185	倀
a00185-001	
a00185-002	
a00186	倔
a00186-001	𩋎
a00186-002	𩍞
a00186-003	
a00186-004	
a00186-004-1	誳
a00187	倨
a00188	俱
a00188-001	倶
a00188-002	
a00188-003	
a00188-004	
a00188-005	
a00188-007	
a00188-008	
a00188-009	
a00188-010	
a00189	倡
a00190	個
a00190-001	个
a00190-002	亇
a00190-003	𠇂
a00190-004	
a00190-005	
a00190-006	
a00190-007	箇
a00191	候
a00191-001	𠊱
a00191-002	𠋫
a00191-003	
a00191-004	
a00191-005	
a00191-006	
a00191-007-1	
a00191-008	
a00191-009	
a00191-010	
a00191-011	
a00191-012	
a00191-013	
a00191-014	
a00191-015	
a00191-016	
a00192	倘
a00193	俳
a00193-002	
a00194	修
a00194-001	俢
a00194-002	𢔜
a00194-003	
a00194-004	
a00194-005	臹
a00194-005-1	脩
a00194-006	
a00194-007	
a00194-008	
a00194-009	
a00194-010	
a00194-012	
a00194-013	
a00194-014	
a00194-015	
a00194-016	
a00194-017	
a00195	倭
a00196	倪
a00196-001	
a00196-002	
a00196-003	
a00196-004	
a00196-005	
a00196-006	
a00196-007	
a00196-008	俔
a00197	俾
a00197-001	
a00197-002	𢔌
a00197-003	
a00197-004	
a00197-005	
a00197-006	
a00197-007	
a00197-008	
a00198	倫
a00198-001	
a00198-002	
a00199	倉
a00199-001	仺
a00199-002	𡶍
a00199-003	
a00199-004	
a00199-005	
a00199-006	
a00199-007	
a00199-008	
a00199-010	
a00199-011	
a00199-012	
a00199-013-1	
a00199-014	
a00199-015	𠥐
a00200	偺
a00200-001	偺
a00201	偽
a00201-001-1	僞
a00201-003	
a00201-004	
a00201-005	
a00201-007	
a00202	停
a00202-001	
a00202-002	
a00202-003	
a00202-004	
a00202-005	
a00203	假
a00203-001	
a00203-002	
a00203-003	
a00203-004	
a00203-005	仮
a00203-006	
a00203-007	
a00203-008	
a00203-009	
a00203-010	
a00203-011	𪝒
a00203-012	
a00203-013	
a00203-014	
a00203-015	
a00203-016	
a00203-017	
a00203-018	
a00203-019	
a00203-020	
a00203-021	
a00203-022	
a00203-023	
a00203-024	
a00203-025-1	
a00203-026-1	
a00203-027	
a00203-028-1	
a00203-030	
a00203-031	叚
a00203-032	
a00203-033	𠭊
a00203-034	
a00203-036	
a00204	偃
a00204-001-1	𤑅
a00204-002	
a00204-003	
a00204-004	
a00204-005	
a00204-006	
a00204-007	
a00204-008	
a00204-009	
a00204-010	
a00204-011	
a00204-012	
a00204-013	
a00204-014	
a00204-015	
a00204-016	
a00204-017	
a00204-018	
a00204-019	
a00204-020	
a00204-021	
a00204-022	
a00204-023	
a00204-024	
a00204-025	
a00204-026	
a00204-027	
a00204-028	
a00204-029	
a00204-030	
a00204-031	
a00205	偌
a00205-001	
a00205-002	
a00205-003	
a00206	做
a00206-001	
a00207	偉
a00207-001	
a00207-002	
a00207-004	
a00207-005	
a00207-006	
a00207-007	
a00207-008	
a00208	健
a00208-001	徤
a00208-002	
a00208-003	
a00209	偶
a00209-001	
a00209-002-1	媀
a00210	偎
a00211	偕
a00211-001	
a00211-002	
a00211-003	
a00212	偵
a00212-001	𠏄
a00212-002	
a00212-003	
a00212-004	遉
a00213	側
a00213-002	
a00214	偷
a00214-001	偸
a00214-002	
a00214-004	
a00215	偏
a00215-001	
a00215-002	
a00215-003	
a00215-004	
a00215-005	
a00215-006	
a00215-007	
a00215-008	
a00215-009	
a00216	倏
a00216-001	倐
a00216-002	𤟏
a00216-003	
a00216-004	
a00216-006	
a00216-007	
a00216-008	
a00216-009	
a00216-010	
a00216-011	
a00216-012	
a00216-013	𢞣
a00216-014	焂
a00216-015	翛
a00217	傢
a00218	傍
a00218-001	䧛
a00218-002	
a00218-002-1	徬
a00218-003	
a00218-004	
a00218-005	
a00218-006	
a00219	傅
a00219-001	
a00219-002	
a00219-003	
a00219-005	
a00219-006	
a00219-007	傳
a00219-009	
a00219-010	
a00219-011	
a00219-012	
a00219-013	
a00220	備
a00220-001	𠈍
a00220-002-1	偹
a00220-003	備
a00220-004	僃
a00220-005	𤖤
a00220-006	𠃰
a00220-007	𦯞
a00220-008	俻
a00220-009	
a00220-010	
a00220-011	
a00220-012	
a00220-013	
a00220-013-1	
a00220-013-2	𤰇
a00220-014	
a00220-015	
a00220-016	
a00220-017	
a00220-018	
a00220-020	
a00220-021	
a00220-022	
a00220-023	
a00220-024	
a00220-025	㑲
a00220-026	
a00220-027	
a00220-028	
a00220-029	
a00220-030	
a00220-031	
a00220-032	
a00220-033	
a00220-034	
a00220-035	
a00220-036	
a00220-037	
a00220-038	
a00220-039	
a00220-040	
a00220-041	
a00220-042	
a00220-043	
a00220-044	
a00220-045	
a00220-045-5	
a00220-045-7	𤰅
a00220-045-8	
a00221	傑
a00221-001	
a00221-002	
a00221-003	
a00221-004	
a00221-007	
a00221-008	
a00221-009	
a00221-010	
a00221-011	
a00221-012	
a00221-013	
a00221-014	
a00221-015	
a00221-016	
a00221-017	
a00221-018	
a00221-019	
a00221-020	
a00221-021	
a00222	傀
a00222-001	𠎺
a00222-002	𠐦
a00222-003	𠐤
a00222-004	𧝛
a00222-005	
a00222-006	
a00222-007	
a00222-008	
a00222-008-1	
a00222-008-2	𤪿
a00222-009	
a00222-011	
a00222-012	
a00222-013	
a00223	傖
a00223-001	
a00224	傘
a00224-002	𠋔
a00224-003	𠍘
a00224-006	𡙫
a00224-007	
a00224-009	
a00224-010	𡙘
a00224-011	
a00224-012	
a00224-013	
a00224-013-1	繖
a00224-014	
a00224-015	
a00224-015-1	
a00224-016	
a00224-017	𠎃
a00225	傭
a00225-001	
a00225-003	𦟛
a00225-004	
a00225-008	佣
a00226	債
a00226-001	
a00226-002	
a00227	傲
a00227-001	𢕟
a00227-002	慠
a00227-003	㥿
a00227-004	𢢡
a00227-005	
a00227-006	
a00227-006-1	
a00227-006-2	
a00227-006-3	
a00227-007	
a00227-008	
a00227-009	
a00227-010	
a00227-011	
a00227-014	
a00227-015	
a00228	傳
a00228-001	
a00228-002	
a00228-003	𫝊
a00228-004	𪫖
a00228-005	
a00228-006	
a00228-007	
a00228-008	
a00228-009	
a00228-010	
a00228-011	
a00228-013	
a00228-014	伝
a00228-015	
a00228-016	
a00229	僅
