H2.1225	墾
H2.1225-H2.1226	壇
H2.1227	壈
H2.1228	壅
H2.1229-H2.1230	壁
H2.1232	㙺
H2.1232	壓
H2.1236	壖
H2.1236	壑
H2.1237	壎
H2.1237	壕
H2.1237	壙
H2.1238	壝
H2.1238	壘
H2.1239	壚
H2.1240	壞
H2.1242	壟
H2.1243	壤
H2.1244	壩
H2.1245	寸
H2.1249	寺
H2.1250	尀
H2.1250-H2.1251	封
H2.1262-H2.1263	尃
H2.1263	射
H2.1270	專
H2.1278-H2.1279	尉
H2.1280	尊
H2.1288	尋
H2.1293-H2.1294	對
H2.1306	導
H2.1309	弁
H2.1310-H2.1311	弄
H2.1316	弃
H2.1316	弆
H2.1316	弇
H2.1317	弈
H2.1317-H2.1318	弊
H2.1321	大
H2.1403-H2.1404	天
H2.1454-H2.1455	夫
H2.1458	夭
H2.1461	太
H2.1476	夬
H2.1476	央
H2.1477	失
H2.1492	夯
H2.1492-H2.1493	夸
H2.1495	夷
H2.1501-H2.1502	夾
H2.1507	奂
H2.1507-H2.1508	奉
H2.1515	奈
H2.1516	奔
H2.1520-H2.1521	奇
H2.1529-H2.1530	奄
H2.1531-H2.1532	契
H2.1535	奏
H2.1539	奎
H2.1540	奊
H2.1540	奓
H2.1540-H2.1541	奕
H2.1541-H2.1542	套
H2.1544	奚
H2.1546	匏
H2.1547	奢
H2.1549	爽
H2.1553	奤
H2.1553	𡙇
H2.1553-H2.1554	奧
H2.1557	奠
H2.1558-H2.1559	奩
H2.1559-H2.1560	奪
H2.1562	奬
H2.1564	奫
H2.1564-H2.1565	奮
H2.1569	奰
H2.1569-H2.1570	兀
H2.1571-H2.1572	尤
H2.1573	尪
H2.1574	尨
H2.1575	㝿
H2.1575	𠨜
H2.1575-H2.1576	就
H2.1581	尲
H2.1581	尵
H2.1581	弋
H2.1582-H2.1583	式
H2.1585	𢍿
H2.1585	弑
H2.1585	㢦
H2.1585-H2.1586	小
H2.1646-H2.1647	少
H2.1656	尖
H2.1659	尚
H2.1662	尠
H3.0001-H3.0002	口
H3.0016	𠮜
H3.0016	𠮙
H3.0017	叶
H3.0017-H3.0018	古
H3.0030	叮
H3.0031	可
H3.0040-H3.0041	右
H3.0045	叭
H3.0045	只
H3.0048	史
H3.0052	句
H3.0056-H3.0057	叱
H3.0058	叴
H3.0058-H3.0059	司
H3.0069	叼
H3.0069-H3.0070	叫
H3.0073	叩
H3.0075	叨
H3.0076-H3.0077	召
H3.0078	另
H3.0079-H3.0080	台
H3.0082	吁
H3.0083-H3.0084	吐
H3.0090	吉
H3.0097	㕦
H3.0097	𠮾
H3.0097	吕
H3.0100-H3.0101	同
H3.0127-H3.0128	吃
H3.0135-H3.0136	吒
H3.0136-H3.0137	向
H3.0141	后
H3.0142-H3.0144	合
H3.0162-H3.0164	名
H3.0179	各
H3.0181	吸
H3.0183	吖
H3.0184	㕧
H3.0184	吆
H3.0184-H3.0185	呈
H3.0186	吴
H3.0194-H3.0195	吞
H3.0198	呋
H3.0198	㕲
H3.0198	呆
H3.0200	㕶
H3.0200	吾
H3.0202	吱
H3.0203	否
H3.0205	吠
H3.0206	吰
H3.0206	𠯔
H3.0206	呃
H3.0206	呀
H3.0207	吡
H3.0207	吵
H3.0208	𠯍
H3.0208	呐
H3.0209	吽
H3.0209	告
H3.0217	㕰
H3.0217	㕭
H3.0217	𠯹
H3.0218	听
H3.0218	𠯘
H3.0218	吤
H3.0218	㕮
H3.0218-H3.0219	吟
H3.0222-H3.0223	含
H3.0233	㕳
H3.0233	吩
H3.0233	吻
H3.0234-H3.0235	吹
H3.0242	𠯜
H3.0242	吺
H3.0242	吝
H3.0243	吭
H3.0243	吚
H3.0244	君
H3.0249	吷
H3.0249	吲
H3.0249-H3.0250	吧
H3.0250	吼
H3.0251	吮
H3.0252	味
H3.0253	呿
H3.0253	呭
H3.0253	哎
H3.0253	咕
H3.0254	呵
H3.0257	咂
H3.0258	呸
H3.0258	𠰴
H3.0258	咘
H3.0258	咔
H3.0258-H3.0259	呫
H3.0259	呾
H3.0259	咀
H3.0260	呷
H3.0260	呻
H3.0261	咉
H3.0261	呪
H3.0262	呥
H3.0262	咼
H3.0263	呹
H3.0263	咋
H3.0263-H3.0265	和
H3.0279	呱
H3.0280-H3.0281	命
H3.0287-H3.0288	呼
H3.0293-H3.0294	周
H3.0308-H3.0309	呴
H3.0309-H3.0310	咎
H3.0311	咚
H3.0311	咆
H3.0311	呟
H3.0312	咇
H3.0312	咏
H3.0312	呢
H3.0313	咈
H3.0313	咄
